PEX;X;Y;Area;Produccion
6004H;650.02;634.54;291;105549.6485
6005H;644.84;653.86;293;86220.1995
6006H;639.66;673.18;301;145891.7522
6007H;634.48;692.5;301;164021.9621
6008H;629.3;711.82;301;144861.3464
6009H;624.12;731.14;289;136156.8026
6010H;618.94;750.46;300;97670.18
6011H;613.76;769.78;300;105577.6268
6016H;608.58;789.1;302;120508.29
6013H;603.4;808.42;302;108956.1367
6014H;598.22;827.74;300;161961.3515
6015H;593.04;847.06;300;193926.1737
6016H;587.86;866.38;299;116446.5084
6017H;582.68;885.7;302;141814.3743
6018H;577.5;905.02;302;98809.1796
6019H;572.32;924.34;301;68104.3729
6060H;567.14;943.66;300;56868.1235
6061H;561.96;962.98;301;53646.9867
6066H;556.78;982.3;302;51809.2287
6063H;551.6;1001.62;302;23621.9323
6064H;546.42;1020.94;300;13326.4633
6065H;541.24;1040.26;301;8130.8289
6066H;536.06;1059.58;301;6736.9542
6067H;530.88;1078.9;302;5388.7297
6068H;525.7;1098.22;302;4536.4173
6069H;520.52;1117.54;303;1491
6030H;515.34;1136.86;299;0
6031H;510.16;1156.18;299;0
6104F;637.77;622.29;290;48811.6898
6105F;632.59;641.61;299;62508.4626
6105H;620.35;629.57;299;52756.7537
6106F;627.41;660.93;299;110393.653
6106H;615.17;648.89;299;97148.2448
6107F;622.23;680.25;299;161097.9211
6107H;609.99;668.21;299;119017.6301
6108F;617.05;699.57;299;149711.3467
6108H;604.81;687.53;299;189426.4207
6109F;611.87;718.89;299;121836.9204
6109H;599.63;706.85;299;170079.0479
6110F;606.69;738.21;299;132780.2016
6110H;594.45;726.17;299;152891.5449
6111F;601.51;757.53;299;138553.9502
6111H;589.27;745.49;299;170740.4116
6116F;596.33;776.85;299;140456.8092
6116H;584.09;764.81;299;128359.8035
6113F;591.15;796.17;299;142171.9032
6113H;578.91;784.13;299;137100.0811
6114F;585.97;815.49;299;168794.0886
6114H;573.73;803.45;299;184674.5998
6115F;580.79;834.81;299;138176.6388
6115H;568.55;822.77;299;107296.0505
6116F;575.61;854.13;299;91468.7167
6116H;563.37;842.09;299;87288.825
6117F;570.43;873.45;299;102620.4148
6117H;558.19;861.41;299;33935.1592
6118F;565.25;892.77;299;66767.4793
6118H;553.01;880.73;299;49068.3474
6119F;560.07;912.09;299;50374.7594
6119H;547.83;900.05;299;55315.6776
6160F;554.89;931.41;299;51358.2022
6160H;542.65;919.37;299;41240.5514
6161F;549.71;950.73;299;37672.1836
