pillar_id;area;heterogeneidad_geologica;calidad_roca;tiempo_solicitacion;altura_extraida;densidad_energia_sismica;resistencia_traccion;modulo_general_deformacion
NS_01;286.5643;Baja;Calidad muy mala;24;264;115.0474057;0.2285;14.692
NS_02;286.5643;Muy alta;Calidad muy mala;24;262;126.9043371;0.184;13.13
NS_03;286.5643;Baja;Calidad muy mala;24.33333333;261;145.3970001;0.184;13.13
NS_04;286.5643;Baja;Calidad muy mala;25.66666667;260;144.1724518;0.24175;15.0385
NS_05;286.5643;Baja;Calidad mala;26;259;125.1688039;0.289;16.6
NS_06;286.5643;Media;Calidad muy mala;26;259;106.2148966;0.27325;16.0795
NS_07;285.8573;Baja;Calidad muy mala;26;260;95.73137073;0.184;13.13
NS_08;287.7233;Baja;Calidad muy mala;26;261;83.43498403;0.184;13.13
NS_09;286.9684;Baja;Calidad muy mala;26;262;66.14341956;0.184;13.13
NS_10;285.655;Baja;Calidad muy mala;26;264;56.64518807;0.184;13.13
NS_11;248.9047;Baja;Calidad muy mala;24;266;109.5242477;0.25692;15.7532
NS_12;286.5643;Media;Calidad muy mala;1;264;121.3049783;0.184;13.13
NS_13;248.9047;Media;Calidad muy mala;1.333333333;263;134.8448929;0.184;13.13
NS_14;286.5643;Baja;Calidad muy mala;2.333333333;262;140.9869687;0.2365;14.865
NS_15;248.9047;Media;Calidad mala;2.666666667;260;120.6570193;0.289;16.6
NS_16;286.5643;Media;Calidad muy mala;2.333333333;260;103.2430136;0.26275;15.7325
NS_17;248.9047;Baja;Calidad muy mala;2;261;96.88430221;0.184;13.13
NS_18;287.7015;Baja;Calidad muy mala;2;263;106.1576397;0.184;13.13
NS_19;248.9047;Baja;Calidad muy mala;26;264;66.988398;0.184;13.13
NS_20;285.7422;Baja;Calidad muy mala;26;264;56.35147433;0.184;13.13
NS_21;248.9047;Baja;Calidad muy mala;25.66666667;267;49.40144665;0.184;13.13
NS_22;286.5643;Media;Calidad mala;24;267;111.2623376;0.266;16.058
NS_23;286.5643;Alta;Calidad muy mala;1;266;114.900987;0.19498;13.5512
NS_24;286.5643;Alta;Calidad muy mala;1.333333333;265;124.4768821;0.184;13.13
NS_25;286.5643;Media;Calidad muy mala;2.666666667;264;132.9732729;0.25225;15.3855
NS_26;286.5643;Media;Calidad mala;2.666666667;263;116.9104232;0.289;16.6
NS_27;286.5643;Media;Calidad muy mala;2.666666667;262;98.3388741;0.19975;13.6505
NS_28;286.5643;Baja;Calidad muy mala;2.333333333;263;91.68509327;0.184;13.13
NS_29;286.5643;Baja;Calidad muy mala;2;265;494.7816273;0.184;13.13
NS_30;286.5643;Baja;Calidad muy mala;2;267;69.22437946;0.184;13.13
NS_31;286.5643;Baja;Calidad muy mala;26;267;56.137611;0.184;13.13
NS_32;286.5643;Baja;Calidad muy mala;25.66666667;266;49.41686555;0.184;13.13
NS_33;286.5643;Baja;Calidad mala;23.66666667;269;88.03793387;0.25868;15.8408
NS_34;286.5643;Alta;Calidad muy mala;1.333333333;268;105.5666204;0.21705;14.3398
NS_35;286.5643;Media;Calidad muy mala;1.333333333;267;113.7809674;0.184;13.13
NS_36;286.5643;Media;Calidad muy mala;2.333333333;266;120.0790473;0.25435;15.4549
NS_37;286.5643;Media;Calidad mala;2.666666667;264;116.4376026;0.289;16.6
NS_38;286.5643;Baja;Calidad muy mala;3.333333333;264;94.41359813;0.184;13.13
NS_39;286.5643;Baja;Calidad muy mala;3.333333333;264;84.91361651;0.184;13.13
NS_40;286.5643;Baja;Calidad muy mala;3.333333333;266;143.2830121;0.184;13.13
NS_41;286.5643;Baja;Calidad muy mala;3.333333333;269;71.58614634;0.184;13.13
NS_42;286.5643;Baja;Calidad muy mala;3.333333333;271;55.85331585;0.184;13.13
NS_43;286.5643;Baja;Calidad muy mala;25.66666667;269;49.3311772;0.184;13.13
