Parada;Longitud perfo.;Nº tiros av.;Masa explos.;UCS estim.;Mod. Young;Raz. Poisson;Vol. extraido;GSI;Anisotropia radial;EPD
1;2.5;103;235.635;189;57;0.27;190.2242907;50;2.073532249;5073.729096
2;3.8;91;230.4545;189;57;0.27;172.4095736;50;2.07447944;4599.041707
3;3.8;82;238.037;189;57;0.27;140.7383356;52.5;2.075268448;3754.536433
4;3.8;89;248.934;189;57;0.27;148.3124104;60;2.076219102;3956.990959
5;3.8;89;246.436;189;57;0.27;148.1655824;52.5;2.077168905;3953.482527
6;3.8;89;213.3095;189;57;0.27;118.775063;60;2.077952234;3169.574623
7;3.2;94;262.394;189;57;0.27;204.922318;52.5;2.079089587;5469.747613
8;3.2;109;253.3975;189;57;0.27;195.8081664;55;2.080133544;5227.620816
9;3.8;113;280.126;189;57;0.27;203.9911987;52.5;2.080922;5449.128926
10;3;111;207.865;189;57;0.27;154.256375;55;2.081128273;4124.648261
11;3;111;198.1895;189;57;0.27;144.06975;55;2.081472358;3853.48913
12;3.8;111;281.549;189;57;0.27;125.52625;55;2.082064378;3355.996042
13;4;111;294.58075;189;57;0.27;158.632;55;2.082640941;4236.31847
14;4;110;275.5125;189;57;0.27;196.9866667;57.5;2.08331185;5254.845114
15;4;109;249.145;189;57;0.27;148.5225;47.5;2.083516238;3960.166497
16;4;110;307.355;189;57;0.27;203.2533333;50;2.084188924;5413.570581
17;4;110;315.702;189;57;0.27;191.8666667;52.5;2.084827537;5104.988039
18;4;114;320.5025;189;57;0.27;178.9;47.5;2.085535602;4754.520899
19;4;114;298.961;189;57;0.27;179.928;45;2.085672525;4781.401965
20;4;114;305.6325;189;57;0.27;211.6925;57.5;2.085719183;5626.127947
21;4;114;300.807;189;57;0.27;189.414;55;2.085757897;5034.504776
22;4.3;114;316.87;108;42;0.17;206.678;60;2.086093642;10004.2077
23;4.3;118;336.262;108;42;0.17;184.887;52.5;2.085846761;8953.392151
24;4.3;114;326.0245;108;42;0.17;168.104;50;2.085878902;8141.30218
25;4.3;113;352.7675;108;42;0.17;168.0175;50;2.085916328;8137.884428
26;4.6;113;352.449;108;42;0.17;163.31925;55;2.085956737;7911.092913
27;4.6;113;363.375;189;57;0.27;159.228;52.5;2.085994188;4234.615756
28;4.8;113;363.9415;189;57;0.27;177.669;55;2.08603705;4725.515153
29;4.8;113;341.3135;189;57;0.27;178.166688;55;2.08607358;4739.192395
30;4.75;113;347.694;189;57;0.27;206.601144;55;2.086117551;5496.118854
31;4.5;113;357.4595;189;57;0.27;180.8838931;55;2.086157735;4812.443952
32;4.5;113;363.0005;155;59;0.23;168.450898;57.5;2.086196052;4922.895403
33;4.5;113;363.92675;155;59;0.23;190.3422356;55;2.086451431;5563.289007
34;4.5;113;372.3395;189;57;0.27;192.821904;55;2.087215213;5131.998623
35;5.3;113;411.0975;189;57;0.27;234.432099;55;2.088079347;6240.631585
36;4.8;113;388.343;189;57;0.27;270.6346104;60;2.088940625;7203.839569
37;5.3;113;375.0355;189;57;0.27;256.915395;50;2.089975474;6834.772744
38;4.5;113;357.433;189;57;0.27;164.145875;55;2.090829018;4364.762787
39;5.3;121;377.08;189;57;0.27;213.81075;57.5;2.091872158;5682.175094
40;4.5;113;378.919;189;57;0.27;217.0443;52.5;2.092735413;5763.946184
41;5.3;118;372.3085;189;57;0.27;218.907;55;2.093517292;5808.46555
42;4.8;113;389.0765;189;57;0.27;201.863;55;2.094212112;5352.178774
43;4.8;113;390.0155;78;47;0.26;197.847;55;2.094874359;6574.360213
44;4.8;113;390.08425;78;47;0.26;153.8673;50;2.095397381;5110.021194
45;4.8;113;379.652;78;47;0.26;223.956495;50;2.096324228;7430.224717
46;4.872641509;113;375.1645;189;57;0.27;222.643938;50;2.097077676;5884.895892
47;5.6;113;410.505;185;54;0.25;228.71409;52.5;2.097972688;6810.20371
48;5.2;113;399.399;155;59;0.23;226.21024;50;2.098762193;6553.252532
49;5.2;113;378.408;155;59;0.23;177.5109225;52.5;2.099023315;5142.060943
50;5.558490566;113;432.787;155;59;0.23;176.52672;55;2.099291582;5113.161123
51;5.166981132;113;399.598;189;57;0.27;208.60665;52.5;2.099589003;5502.861963
52;5.354716981;113;407.886;189;57;0.27;129.93134;52.5;2.099786753;3427.301553
53;5.51509434;113;448.6085;189;57;0.27;162.1940833;52.5;2.099668738;4278.675803
54;5.35754717;113;119.0555;155;59;0.23;259.145325;47.5;2.099446942;7506.920838
55;5.245283019;113;147.4935;155;59;0.23;309.767;45;2.097014394;8982.307946
56;5.186792453;113;148.4325;189;57;0.27;339.626332;50;2.098939083;8963.333069
57;3.790566038;124;100.283;189;57;0.27;206.1007475;55;2.098735458;5440.041134
58;4.65754717;124;118.7995;189;57;0.27;224.9289;50;2.098514696;5937.814247
59;4.433018868;124;99.7175;189;57;0.27;236.41848;50;2.098154933;6241.084983
60;4.474528302;113;107.99175;189;57;0.27;340.3584;42.5;2.097699921;8983.79617
61;4.395283019;124;85.36625;155;59;0.23;216.6052;55;2.097299457;6277.195133
62;4.281196581;124;101.3565;155;59;0.23;226.45125;47.5;2.096874277;6561.844313
63;4.404273504;121;94.051;155;59;0.23;195.040075;47.5;2.096482939;5651.132341
64;4.386693548;124;109.8995;155;59;0.23;199.562025;47.5;2.096111686;5781.647022
65;4.434453782;119;114.3005;155;59;0.23;211.1664;50;2.095722796;6117.276102
66;4.261344538;119;95.1455;155;59;0.23;225.5226667;50;2.096262355;6525.016043
67;4.600840336;119;88.434;155;59;0.23;205.9926;50;2.097154439;5950.241006
68;4.273109244;119;89.095;155;59;0.23;227.8188;52.5;2.098130132;6568.991793
69;4.629032258;124;75.879;155;59;0.23;266.907;50;2.099143014;7692.041739
70;4.708823529;119;112.14925;155;59;0.23;260.454025;50;2.100097636;7502.894783
71;4.555;120;78.216;155;59;0.23;214.437375;42.5;2.10101263;6174.78648
72;4.738333333;120;109.101;155;59;0.23;251.2104;42.5;2.101990298;7230.554088
73;4.566666667;120;100.752;155;59;0.23;207.219;42.5;2.102862021;5963.493858
74;4.665486726;120;91.718;155;59;0.23;175.55145;47.5;2.103586803;5051.902781
75;4.587610619;120;104.756;155;59;0.23;247.51064;47.5;2.104579484;7122.230228
76;5.021238938;120;111.5495;155;59;0.23;211.6752;50;2.105421489;6090.706936
77;5.092857143;119;107.753;155;59;0.23;225.5508;55;2.105297796;6493.950094
78;5.369369369;118;113.063;155;59;0.23;239.8942667;52.5;2.104819566;6912.678847
79;5.145045045;118;109.6435;155;59;0.23;273.5915;52.5;2.104321208;7890.535316
80;5.269026549;120;104.676;155;59;0.23;287.9964;55;2.103712109;8314.824032
81;5.055045872;116;109.43775;155;59;0.23;254.9976;55;2.102692768;7366.684548
