Date Fixed;X;Y;Z;Location Error;Moment;Energy
02-01-10;1089.09;102.75;2720.938731;12;3.95E+10;1.11E+04
03-01-10;1301.37;145.12;2612.668731;14;9.94E+10;2.99E+05
04-01-10;677.78;737.51;2696.268731;8;2.65E+11;3.44E+06
04-01-10;661.84;700.15;2682.008731;10;5.57E+09;6.66E+04
04-01-10;713.88;711.64;2697.008731;26;1.29E+11;4.36E+06
04-01-10;1419.53;-440.2;2772.218731;13;5.16E+09;1.37E+04
04-01-10;1416.02;-425.66;2751.688731;10;1.60E+09;1.84E+04
04-01-10;1163.57;478.94;1986.268731;35;2.60E+10;3.28E+05
05-01-10;1199.29;128.4;2608.668731;10;4.56E+10;2.82E+05
05-01-10;1157.2;129.66;2615.108731;6;2.47E+10;4.10E+04
05-01-10;3789.76;1747.44;3936.818731;183;3.62E+09;3.28E+05
05-01-10;1075.07;526.2;2602.308731;8;5.51E+10;4.79E+05
06-01-10;1067.54;550.2;2578.688731;16;5.30E+09;4.63E+04
06-01-10;1092.29;101.4;2746.648731;17;9.90E+10;5.53E+04
06-01-10;1256.74;136.49;2613.338731;22;4.38E+09;1.82E+04
06-01-10;1282.63;157.21;2608.998731;10;1.89E+11;1.37E+07
06-01-10;1318.26;-449.47;2830.508731;11;1.43E+10;1.26E+04
06-01-10;1339.3;-472.21;2825.638731;11;1.87E+10;2.94E+04
06-01-10;1097;91.15;2740.038731;18;6.36E+10;1.61E+04
07-01-10;1300.26;138.74;2580.478731;9;3.02E+10;1.39E+05
07-01-10;1284.6;157.64;2609.788731;7;3.46E+10;1.27E+05
07-01-10;1242.81;146.6;2609.168731;8;4.39E+10;3.65E+05
07-01-10;1264.93;141.65;2605.668731;11;1.28E+10;8.86E+04
07-01-10;853.47;231.75;2586.718731;69;5.89E+08;4.21E+04
07-01-10;1072.56;100.73;2727.348731;21;1.15E+11;4.29E+04
07-01-10;1155.05;112.42;2615.888731;15;1.16E+10;2.58E+04
07-01-10;1294.87;-260.39;2517.628731;21;2.19E+09;1.12E+04
07-01-10;1456.36;-449.17;2838.988731;10;3.03E+10;6.78E+04
08-01-10;1285.5;151.9;2603.328731;8;2.12E+11;1.43E+06
08-01-10;1266.02;192.75;2608.648731;11;1.08E+10;1.88E+04
08-01-10;1110.56;68.14;2720.008731;13;6.28E+10;5.14E+04
08-01-10;463.78;-104;2663.688731;100;3.00E+09;2.34E+05
08-01-10;1281.4;171.24;2627.808731;8;4.19E+10;2.84E+05
08-01-10;1205.81;127.65;2597.738731;9;2.89E+10;1.30E+05
08-01-10;1162.56;128.42;2611.518731;17;1.03E+10;1.42E+04
08-01-10;1310.69;-455.46;2820.308731;13;5.45E+10;4.96E+04
08-01-10;1257.06;176.72;2649.058731;13;2.20E+10;1.54E+05
09-01-10;1960.17;-375.59;2588.638731;42;1.73E+09;1.97E+04
09-01-10;1299.02;154.34;2612.668731;8;2.84E+10;2.08E+05
09-01-10;1231.46;159.22;2611.828731;11;4.54E+10;1.74E+05
