X;Y;Z;Cu
267.6;105.5;97.4;3.97
160.4;133.1;131;3.96
163.5;166.5;123.4;3.28
178.9;134.9;131;3.88
178.9;134.9;119;3.92
270.4;88;131.8;3.99
180.7;103;108;3.98
171.8;166.4;132;3.97
160.4;133.1;119.5;3.96
170;184.1;131.8;3.95
270.4;88;119.8;3.91
150.2;178.1;60.2;3.89
184.1;90.7;120.6;3.88
260.3;105.4;76.6;3.86
210.5;508;132;3.28
155.7;118;84;3.78
210.5;132.9;120.2;3.71
264.3;105.5;87.9;3.67
311.2;95.7;132;3.65
184.1;90.7;108.6;3.47
180.7;103;120;3.39
180.4;118;108;3.34
420.4;283;120;3.18
155.7;118;72;3.14
180.4;118;120;3.12
120.4;133;84;3.02
240.4;493.1;108;2.97
180.4;223.2;119.9;2.95
209.9;537.7;132;2.91
151.7;537;132;2.88
363.4;109.7;38.7;2.81
210.5;508;120;2.77
236.5;519.8;54.1;2.77
253.1;509.6;10;2.74
180.4;193;120.4;2.71
210.5;508;108;2.69
240.4;493.1;120;2.69
210.4;118;90.6;2.68
256.3;105.4;65.3;2.65
170;184.1;119.8;2.65
180.4;118;96;2.63
167.1;402;130;2.62
234.1;161.8;51;2.61
210.4;118;97.6;2.61
180.4;163;107.1;2.58
210;508;84;2.58
270.4;448;71.7;2.57
184.1;90.7;96.6;2.57
146.1;422.1;132;2.56
210.6;237.8;96;2.53
240.4;493.1;84;2.52
240.4;493.1;96;2.52
170;184.1;95.8;2.51
151.7;537;120;2.51
180.7;103;132;2.51
311.2;95.7;120;2.49
232.4;520.2;65.3;2.46
210.4;118;121.6;2.46
210;508;60;2.44
210;283;12;2.42
270.4;118;132;2.42
150.3;58.3;132.4;2.42
210.5;478;132;2.41
270.4;478;95.7;2.42
178.9;134.9;107;2.39
120.4;403;111;2.37
150.2;178.1;108.2;2.36
180.2;312.5;120.1;2.35
240.4;493.1;48;2.34
210;508;24;2.33
150.3;303.2;108.3;2.33
210.4;148;123.5;2.33
171.7;323;106.3;2.32
210.4;118;109.6;2.32
120.4;343;120;2.32
180.4;223;132;2.31
210;178;84;2.29
240.4;103;107.4;2.27
209.9;537.7;120;2.27
155.7;118;48;2.27
323.4;418.4;24;2.25
240.4;493.1;36;2.24
302.2;282.2;120;2.23
109.7;313.2;60;2.23
210.4;118;132;2.22
191.7;102;108.8;2.22
240.6;519.3;42.8;2.21
170;184.1;83.8;2.21
210;508;72;2.21
120.4;403;132;2.21
270.4;508;96;2.21
210.6;237.8;108;2.22
210;148;24;2.24
356.6;406.8;36;2.23
120.4;403;123;2.22
270.4;418;36;2.19
120.4;403;99;2.19
180.4;193;132.4;2.18
210;283;84;2.18
270.4;478;131.7;2.16
300.4;463;95.3;2.15
180.4;313;120;2.15
228.3;520.6;76.6;2.14
150.4;388;107.9;2.13
241.4;519.6;15.1;2.13
305.1;463.6;110.9;2.13
180.4;163;95.1;2.11
210;178;60;2.11
210;178;72;2.11
180.4;223.2;83.9;2.12
170;184.1;107.8;2.09
202.2;523.7;67.9;2.09
180.4;193;84.4;2.09
120.4;403;87;2.09
210.8;523.6;76.2;2.08
210.5;478;120;2.08
224.2;521.1;87.9;2.07
180.4;538;84;2.07
210.4;118;120;2.07
230;162.1;62.2;2.06
256.8;511.5;33.6;2.06
244.7;518.9;31.5;2.06
254.9;510.6;21.8;2.06
180.4;118;72;2.05
171.7;323;130.3;2.04
300.4;463;106.8;2.04
240.4;223;96;2.04
240.4;493.1;24;2.04
240.4;493.1;60;2.04
180.4;522.9;72.2;2.04
180.2;312.5;108.1;2.04
109.7;313.2;48;2.04
143.3;522.6;89.9;2.03
249.9;519.7;23.5;2.03
150.2;178.1;96.2;2.03
180.4;118;60;2.02
220.1;521.5;99.1;2.02
240.4;223;12;2.02
158.6;401.9;121.5;2.02
270.8;148.1;108.2;2.01
171.7;323;94.3;2.01
270.4;478;119.7;2.01
150.4;388;83.9;2.01
308.5;458.2;64.3;2.01
305.1;463.6;86.9;2.02
150.2;147.6;120.1;2.04
240.5;343.1;96.1;2.07
180.4;538;96;2.05
148.7;293.3;102.2;2.01
210;478;24;1.99
180.4;522.9;84.2;1.99
180.4;223.2;71.9;1.99
210;283;24;1.98
210;508;48;1.98
300.4;433;106.9;1.98
323.4;418.4;12;1.97
150.4;388;95.9;1.97
180.4;223;120;1.97
260.4;513.5;57.2;1.97
150.4;388;131.9;1.96
150.8;132.9;107.8;1.96
155.7;118;60;1.96
240.3;462.6;12;1.96
240.4;433;132;1.96
180.4;463;59.6;1.96
210.5;132.9;108.2;1.96
305.1;463.6;98.9;1.95
240.4;253;120;1.95
180.4;163;83.1;1.95
420.4;283;132;1.94
180.4;118;48;1.94
210;148;72;1.94
146.1;422.1;108;1.94
180.4;522.9;24.2;1.94
109.9;423.6;91.9;1.94
210;508;96;1.93
150.4;388;119.9;1.93
360.7;223.4;48;1.93
180.2;312.5;96.1;1.93
180.4;118;41.5;1.93
210.4;148;111.5;1.93
258.6;512.5;45.4;1.92
141.7;401.9;104.5;1.92
150.4;418;107.9;1.92
210.4;148;87.5;1.92
210.4;118;133.6;1.91
248.9;518.5;20.3;1.91
150.4;238;132;1.91
180.4;223.2;95.9;1.91
133.3;401.8;96;1.91
175.2;403.2;39.3;1.91
210;178;48;1.95
180.4;163;119.1;1.92
116.4;401.7;78.9;1.93
193.6;523.8;59.5;1.89
210.5;478;108;1.89
210;478;96;1.89
240.4;103;83.9;1.89
129.5;162.7;120;1.89
120.4;133;96;1.89
167.3;521.8;85;1.88
180.4;163;131.1;1.88
240.4;223;132;1.88
171.7;323;118.3;1.88
124.8;401.8;87.4;1.87
240.4;103;119.4;1.87
160.4;522.6;106.8;1.86
210.4;388;120;1.86
210;178;12;1.86
150;208;24;1.86
180.5;553;108;1.86
180.4;223.2;107.9;1.86
210.5;448;119;1.86
120.4;403;75;1.86
150.3;303.2;120.3;1.85
180.4;343.1;95.8;1.85
217.2;102.1;134.1;1.84
189.2;340.8;132.1;1.84
195.6;166.9;64;1.84
208.7;102.1;125.7;1.84
150.4;253;108;1.83
356.6;406.8;24;1.83
180.4;223.2;59.9;1.83
228;523.5;93;1.82
258.4;519.8;32;1.82
210;508;36;1.82
241.1;133.6;132;1.82
180.4;253;131.6;1.82
180.4;538;72;1.82
120.8;492.9;120;1.82
256.2;463.1;25.1;1.81
134.8;522.5;81.5;1.81
180.4;522.9;60.2;1.81
180.4;463;131.6;1.81
172.3;340.5;115.2;1.81
270.1;447.8;60;1.81
150.4;388;23.9;1.81
150.4;268;120;1.81
305.1;463.6;74.9;1.81
180.4;403;71.6;1.81
305;458.6;52.9;1.79
210.5;508;96;1.79
180.4;193;108.4;1.79
120.4;343;108;1.79
266;516.4;92.7;1.78
270.4;478;83.7;1.78
150.4;253;120;1.78
180.4;193;72.4;1.78
262.3;514.4;69.1;1.78
150.2;148.2;131;1.78
120.4;373;101;1.78
330.4;478;119;1.77
270.4;448;119.2;1.77
264.1;515.4;80.9;1.77
270.4;418;48;1.76
268.7;128.2;108;1.76
259.9;463.1;13.6;1.76
150.2;401.9;113;1.76
210.4;178;69.1;1.75
150.8;132.9;119.8;1.75
180.4;163;71.6;1.75
