id_pilar,x,y,z,heterogeneidad_geologica,litologia_dominante,proximadad_de_fallas,condicion_de_frente,num_singularidades_geometricas,area_pilar,frec_fracturas,altura_extraible_promedio,carga_vertical_pre_mineria,carga_vertical_transicion,estado_pilar
1,776.71803544,259.18513544,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,286.5643,1.979,264,11.126392,43.23679879458469,0
2,811.1434354400001,263.05923544,1125.0,muy heterogenea,brecha de anhidrita,1,concavo,0,286.5643,3.07,262,9.646313,38.197457942266404,1
3,845.5688354400002,266.93333544,1125.0,homogenea,brecha de anhidrita,1,concavo,0,286.5643,3.07,261,10.590594,41.89936538971027,1
4,879.9942354400002,270.80743544,1125.0,homogenea,brecha de anhidrita,1,plano,0,286.5643,1.75,260,10.605144,42.21432009688932,1
5,914.4196354400004,274.68153544,1125.0,homogenea,brecha de anhidrita,0,plano,0,286.5643,0.67,259,10.059537,40.144557544059275,0
6,948.8450354400004,278.55563544,1125.0,poco heterogenea,brecha de anhidrita,0,concavo,0,286.5643,1.03,259,9.66109,38.06857488021581,0
7,983.2704354400004,282.42973544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,285.8573,3.07,260,10.25135,40.70913573428722,0
8,1017.6958354400006,286.30383544000006,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,287.7233,3.07,261,12.482539,49.351466674067744,0
9,1052.1212354400006,290.17793544000006,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,286.9684,3.07,262,20.386906,79.6816824668511,0
10,1086.5466354400007,294.05203544000005,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,285.655,3.07,264,26.811494,105.99789128631275,0
11,770.7119354399999,245.42713544,1125.0,homogenea,complejos de rocas maficas,1,concavo,1,248.9047,1.1048,266,11.333709,43.89218949126692,0
12,805.13733544,249.30133544,1125.0,poco heterogenea,complejos de rocas maficas,1,convexo,0,286.5643,3.07,264,9.738617,39.44452968962292,1
13,839.5627354400001,253.17553544000003,1125.0,poco heterogenea,brecha de anhidrita,1,concavo,1,248.9047,3.07,263,9.937101,39.0658108096165,1
14,873.9881354400002,257.04973544000006,1125.0,homogenea,brecha de anhidrita,1,plano,0,286.5643,1.8699999999999999,262,9.865419,39.61927799225869,1
15,908.4135354400004,260.9239354400001,1125.0,poco heterogenea,brecha de anhidrita,1,convexo,1,248.9047,0.67,260,8.738072,35.33530174964607,0
16,942.8389354400005,264.7981354400001,1125.0,poco heterogenea,brecha de anhidrita,0,convexo,0,286.5643,1.27,260,8.8261,35.696627140827076,0
17,977.2643354400004,268.6723354400001,1125.0,homogenea,complejos de rocas maficas,0,convexo,1,248.9047,3.07,261,9.345944,37.910093963591876,0
18,1011.6897354400004,272.5465354400002,1125.0,homogenea,complejos de rocas maficas,0,convexo,0,287.7015,3.07,263,11.090267,45.36031113442339,0
19,1046.1151354400006,276.4207354400002,1125.0,homogenea,complejos de rocas maficas,0,concavo,1,248.9047,3.07,264,15.24379,60.13309532897316,0
20,1080.540535440001,280.29493544000024,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,285.7422,3.07,264,24.334748,95.12785042760675,0
21,1114.9659354400007,284.1691354400002,1125.0,homogenea,complejos de rocas maficas,0,concavo,1,248.9047,3.07,267,25.943104,101.69302185159792,0
22,764.70583544,231.66923544,1125.0,poco heterogenea,complejos de rocas maficas,1,concavo,0,286.5643,0.921,267,11.554908,44.95959548974328,0
23,799.13123544,235.54333544,1125.0,heterogenea,brecha de anhidrita,1,plano,0,286.5643,2.7009999999999996,266,9.403782,37.90882931953866,0
24,833.5566354399998,239.41743544,1125.0,heterogenea,porfido dioritico,1,convexo,0,286.5643,3.07,265,9.523461,38.77529008929222,1
25,867.9820354399997,243.29153544,1125.0,poco heterogenea,brecha de anhidrita,1,plano,0,286.5643,1.5099999999999998,264,9.979248,39.99868181798298,1
26,902.4074354399996,247.16563544,1125.0,poco heterogenea,brecha de anhidrita,1,plano,0,286.5643,0.67,263,8.252153,33.1543132732185,1
27,936.8328354399994,251.03973544,1125.0,poco heterogenea,brecha de anhidrita,0,plano,0,286.5643,2.7099999999999995,262,8.837578,35.60875070863813,0
28,971.2582354399992,254.91383544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,263,9.105809,36.7708456255397,0
29,1005.6836354399992,258.78793544,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,286.5643,3.07,265,9.969678,38.646381308839985,0
30,1040.109035439999,262.66203543999995,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,267,12.517671,49.930842943388086,0
31,1074.5344354399988,266.53613543999995,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,286.5643,3.07,267,18.479414,72.94544028497742,0
32,1108.9598354399986,270.41023543999995,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,266,25.763218,102.70111587845857,0
33,758.69973544,217.91123544,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,286.5643,0.9383999999999999,269,11.68634,45.16527098091762,0
34,793.12503544,221.78533544,1125.0,heterogenea,brecha de anhidrita,1,plano,0,286.5643,2.1211,268,9.297076,37.313340279004954,0
35,827.55033544,225.65943544,1125.0,poco heterogenea,porfido dioritico,1,plano,0,286.5643,3.07,267,9.167233,36.91100732730838,1
36,861.9756354400001,229.53353544,1125.0,poco heterogenea,porfido dioritico,1,convexo,0,286.5643,1.462,266,9.612813,39.184899445605275,1
37,896.4009354400002,233.40763544,1125.0,poco heterogenea,complejos de rocas maficas,1,convexo,0,286.5643,0.67,264,8.367423,34.41824251057958,1
38,930.8262354400003,237.28173544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,264,8.979154,36.15235627488831,0
39,965.2515354400005,241.15583544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,264,9.543391,38.44315375751299,0
40,999.6768354400006,245.02993544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,266,9.924914,39.99758959219217,0
41,1034.102135440001,248.90403544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,269,11.091776,43.96654312676714,0
42,1068.5274354400008,252.77813544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,271,14.600177,58.48473870285141,0
43,1102.9527354400009,256.65223544,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,286.5643,3.07,269,21.843244,85.78967908555938,0
44,752.69353544,204.15323544,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,286.5643,0.9780000000000001,270,12.303411,47.8273701545631,0
45,787.11893544,208.02743544,1125.0,poco heterogenea,complejos de rocas maficas,1,plano,0,286.5643,1.15,269,9.421256,38.00720165877064,0
46,821.5443354399999,211.90163543999995,1125.0,homogenea,brecha de anhidrita,1,plano,0,286.5643,3.07,268,9.117396,36.63379022867561,0
47,855.96973544,215.77583543999992,1125.0,heterogenea,brecha de anhidrita,1,concavo,0,286.5643,1.75,267,9.596882,35.627932873305255,1
48,890.3951354400001,219.6500354399999,1125.0,poco heterogenea,complejos de rocas maficas,1,plano,0,286.5643,0.7899999999999999,266,8.694937,34.555192269707305,1
49,924.8205354400002,223.52423543999987,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,286.5643,3.07,265,9.182778,37.12546694435349,0
50,959.2459354400004,227.39843543999984,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,266,9.753792,39.24831959280445,0
51,993.6713354400003,231.27263543999985,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,268,9.888792,39.89982730018782,0
52,1028.0967354400004,235.1468354399998,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,286.5643,3.07,271,10.398389,39.435102922038865,0
53,1062.5221354400005,239.02103543999976,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,275,12.18624,48.69983426750072,0
54,1096.9475354400006,242.8952354399997,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,273,17.37176,69.15224864394183,0
55,746.68743544,190.39533544,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,286.5643,1.02,271,12.591557,49.485646131337575,0
56,781.11283544,194.26943544,1125.0,homogenea,complejos de rocas maficas,1,convexo,0,286.5643,1.0815,270,9.647094,39.03102454565091,0
57,815.5382354400001,198.14353544,1125.0,heterogenea,complejos de rocas maficas,1,convexo,0,286.5643,3.07,269,9.338479,37.90186437893523,0
58,849.9636354400002,202.01763544,1125.0,muy heterogenea,complejos de rocas maficas,1,convexo,0,286.5643,2.83,268,9.717722,40.22716060551648,1
59,884.3890354400003,205.89173544,1125.0,poco heterogenea,complejos de rocas maficas,1,plano,0,286.5643,1.03,267,9.812729,39.4406099191789,1
60,918.8144354400004,209.76583544,1125.0,homogenea,complejos de rocas maficas,1,plano,0,286.5643,3.07,266,9.394438,37.617004801552554,1
61,953.2398354400004,213.63993544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,267,9.803592,39.53000863305126,0
62,987.6652354400004,217.51403544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,268,10.009258,40.35056109555399,0
63,1022.0906354400006,221.38813544,1125.0,homogenea,complejos de rocas maficas,0,convexo,0,286.5643,3.07,272,10.368793,42.056884416412196,0
64,1056.516035440001,225.26223544,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,286.5643,3.07,278,11.35435,44.73489706621744,0
65,1090.9414354400008,229.13633544,1125.0,homogenea,complejos de rocas maficas,0,concavo,0,286.5643,3.07,278,14.323914,56.547278018831676,0
66,740.68133544,176.63733543999996,1125.0,poco heterogenea,brecha de turmalina,1,plano,1,248.9047,0.855,273,12.53683,49.79183471048158,0
67,775.10673544,180.51143544,1125.0,homogenea,complejos de rocas maficas,1,concavo,0,286.5643,1.0002,271,9.877392,38.878517199705826,0
68,809.5321354399998,184.38553544000007,1125.0,homogenea,complejos de rocas maficas,1,convexo,1,248.9047,2.8042000000000002,270,9.467156,38.426716425274925,0
69,843.9575354399997,188.25963544000007,1125.0,heterogenea,complejos de rocas maficas,1,convexo,0,286.5643,3.07,269,9.780174,39.7092113778942,0
70,878.3829354399995,192.13373544000015,1125.0,homogenea,complejos de rocas maficas,1,plano,1,248.9047,3.07,268,9.96433,40.03520375476972,1
71,912.8083354399994,196.00783544000024,1125.0,homogenea,complejos de rocas maficas,1,plano,0,286.5643,3.07,267,9.417642,37.78070314073721,1
72,947.2337354399992,199.8819354400003,1125.0,homogenea,complejos de rocas maficas,1,plano,1,248.9047,3.07,268,9.838799,39.41038893575518,0
73,981.6591354399992,203.75603544000035,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,269,10.133683,40.830647130440035,0
74,1016.084535439999,207.6301354400004,1125.0,homogenea,complejos de rocas maficas,0,plano,1,248.9047,3.07,273,10.45085,42.19332796749953,0
75,1050.5099354399988,211.50423544000049,1125.0,homogenea,complejos de rocas maficas,0,convexo,0,286.5643,3.07,279,10.722946,43.882955391386055,0
76,1084.9353354399989,215.3783354400005,1125.0,homogenea,complejos de rocas maficas,0,concavo,1,248.9047,3.07,282,12.687071,50.11408986437225,0
77,769.10063544,166.75353544,1125.0,poco heterogenea,complejos de rocas maficas,1,concavo,0,286.5643,1.02,272,10.252228,40.5520617916736,0
78,803.52603544,170.62763544,1125.0,homogenea,complejos de rocas maficas,1,plano,0,286.5643,2.2037999999999998,271,9.679259,38.86977399998442,0
79,837.9514354399998,174.50173544,1125.0,homogenea,complejos de rocas maficas,1,plano,0,286.5643,3.07,270,9.717836,39.215259403448115,0
80,872.3768354399997,178.37583544,1125.0,poco heterogenea,complejos de rocas maficas,1,concavo,0,286.5643,3.07,269,10.151708,40.112016957477934,1
81,906.8022354399995,182.24993544,1125.0,homogenea,complejos de rocas maficas,1,plano,0,286.5643,3.07,268,9.497151,37.91513357835241,1
82,941.2276354399994,186.12403544,1125.0,homogenea,complejos de rocas maficas,1,plano,0,286.5643,3.07,268,9.869248,39.610157621676045,0
83,975.6530354399991,189.99813544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,270,10.147606,40.9320170757033,1
84,1010.0784354399992,193.87223544,1125.0,homogenea,complejos de rocas maficas,0,plano,0,286.5643,3.07,273,10.400276,41.81402691282126,1
