ID,ROCK NAME,TIO2(WT%),AL2O3(WT%),Y(PPM),ZR(PPM),AU(PPB),NB(PPM),LA(PPM),CE(PPM),SM(PPM),YB(PPM),TH(PPM)
0,BASALT,1.17,10.29,45.9,79.1,,1.99,4.78,7.26,3.47,3.98,0.117
1,BASALT,1.1,9.86,32.2,70.4,,1.73,2.25,7.56,,2.61,0.095
3,BASALT,0.69,26.09,2.1,4.6,6,0.09,0.69,1.57,0.32,0.2,0.08
4,ANDESITE,0.683323546,15.20749021,15.56426477,53.86074521,,1.243583258,5.699474335,12.63966888,2.565400287,1.563073624,0.553055895
6,BASALT,0.13,26.92,16,32,,2,11.9,26.2,3.23,2.42,0.048
10,BASALT,0.60940861,14.04849513,10.20668563,51.72686925,,1.499679218,1.377830316,4.137053517,1.322328153,1.214110399,0.073931421
14,BASALT,0.99,19.47,63,57,,2,8.62,9.12,,3.52,0.21
15,BASALT,1.18,10.1,10,20,,4,3.7,9,1.65,1.15,0.4
19,BASALT,1.74615092,12.70057212,42.62583189,145.0542213,8,2.981118221,,13.07942082,5.581939805,5.184883948,0.144697397
24,BASALT,0.75,14.45,15,19,,1.53,4.36,11.8,,1.32,0.57
25,BASALT,0.63,14.44,18.5,45.9,11,0.57,,7.68,1.91,1.77,0.23
27,BASALT,0.78,13,16.1,49.7,1,4.55,,18.11,,1.52,2.41
31,BASALT,1.1,16.08,19.6,59.5,,2,4.56,11.88,3.12,2.63,3.3
33,BASALT,0.9,22.42,14,61,,2.2,,14.5,2.46,1.67,0.5
39,BASALT,0.847,20,19,33,9,2.3,7.5,21,3.6,1.66,0.78
41,BASALT,0.43,16.97,9.11,14.5,,0.5,,3.37,0.94,0.86,0.14
42,BASALT,0.93,16.53,17.5,26.2,,0.62,,9.36,2.38,1.49,0.349
44,BASALT,0.85,18.3,11.7,20.9,,0.76,3.7,8.84,1.4,1.12,0.42
46,BASALT,0.73,17.72,12.9,24.7,,0.54,2.86,6.59,1.84,1.35,0.26
47,BASALT,0.966,16.16,21.4,80,,4.6,18,40,5.098,1.779,6
48,BASALT,0.73,17.17,15.3,27,,1.2,3,8,1.9,1.4,0.24
50,BASALT,1,16.38,21,76.5,,4.3,16.7,37.1,,1.6,4.5
51,BASALT,1.04,16.8,21,72.4,,4.03,,39.05,5.33,1.77,4.93
52,BASALT,1.07,15.28,18,61,,4.7,,12.7,,1.74,0.849
54,BASALT,0.71,18.93,15.1,24,,0.47,2.6,6.92,1.5,1.49,0.55
56,BASALT,0.87,15.69,19,56,0,2.5,8.87,20.4,,1.76,1.36
58,ANDESITE,1.29891509,13.81317607,26.18700804,93.54082344,,1.497158955,3.001754657,8.968328492,,2.452357,0.176459316
62,BASALT,0.9,15.67,17,62,14,4,5.9,13.9,2.44,1.84,1.663
63,BASALT,1.09,18.87,19.4,51,,3.7,,15.7,,2.26,1.06
64,BASALT,0.99,15.18,18.4,55.2,,4.6,8.2,17.2,,1.6,2.2
67,BASALT,0.852,15.57,20.8,64,12,3.5,18.4,40.6,4.92,1.797,5
68,BASALT,0.94,15.71,18,59,2,4,4,10.5,,1.65,0.562
69,BASALT,1.35,17.75,28,93,3,3.44,12.4,28.7,4.46,1.92,1.5
70,BASALT,1.69,16.46,41.6,160,,4.11,12.3,30.2,5.12,4.02,3.79
79,BASALT,1.12,17.8,20.6,34,,0.68,2.45,7.31,,1.73,0.1
80,BASALT,0.82,16.81,20.6,45.8,10,1.75,7.61,17.8,3.48,1.76,0.913
83,BASALT,0.81,16.99,20.7,45.5,,1.44,7.51,17.55,,1.8,0.883
84,BASALT,1.022,14.86,20.7,73.3,5,6.66,11.32,25.1,,1.82,2.9
