PEX;X;Y;Area;Produccion
2004H;650.02;634.54;291;105549.6485
2005H;644.84;653.86;293;86220.1995
2006H;639.66;673.18;301;145891.7522
2007H;634.48;692.5;301;164021.9621
2008H;629.3;711.82;301;144861.3464
2009H;624.12;731.14;289;136156.8026
2010H;618.94;750.46;300;97670.18
2011H;613.76;769.78;300;105577.6268
2012H;608.58;789.1;302;120508.29
2013H;603.4;808.42;302;108956.1367
2014H;598.22;827.74;300;161961.3515
2015H;593.04;847.06;300;193926.1737
2016H;587.86;866.38;299;116446.5084
2017H;582.68;885.7;302;141814.3743
2018H;577.5;905.02;302;98809.1796
2019H;572.32;924.34;301;68104.3729
2020H;567.14;943.66;300;56868.1235
2021H;561.96;962.98;301;53646.9867
2022H;556.78;982.3;302;51809.2287
2023H;551.6;1001.62;302;23621.9323
2024H;546.42;1020.94;300;13326.4633
2025H;541.24;1040.26;301;8130.8289
2026H;536.06;1059.58;301;6736.9542
2027H;530.88;1078.9;302;5388.7297
2028H;525.7;1098.22;302;4536.4173
2029H;520.52;1117.54;303;1491
2030H;515.34;1136.86;299;0
2031H;510.16;1156.18;299;0
2104F;637.77;622.29;290;48811.6898
2105F;632.59;641.61;299;62508.4626
2105H;620.35;629.57;299;52756.7537
2106F;627.41;660.93;299;110393.653
2106H;615.17;648.89;299;97148.2448
2107F;622.23;680.25;299;161097.9211
2107H;609.99;668.21;299;119017.6301
2108F;617.05;699.57;299;149711.3467
2108H;604.81;687.53;299;189426.4207
2109F;611.87;718.89;299;121836.9204
2109H;599.63;706.85;299;170079.0479
2110F;606.69;738.21;299;132780.2016
2110H;594.45;726.17;299;152891.5449
2111F;601.51;757.53;299;138553.9502
2111H;589.27;745.49;299;170740.4116
2112F;596.33;776.85;299;140456.8092
2112H;584.09;764.81;299;128359.8035
2113F;591.15;796.17;299;142171.9032
2113H;578.91;784.13;299;137100.0811
2114F;585.97;815.49;299;168794.0886
2114H;573.73;803.45;299;184674.5998
2115F;580.79;834.81;299;138176.6388
2115H;568.55;822.77;299;107296.0505
