Fecha;Ley Cu;Ley Fe;Ley CuS;Razon Solubilidad;Recuperacion;Contenido Arcillas;Dureza Mineral
01-01-17;0.551643984;0.91;0.040490672;7.340000593;83.62443;Media;Baja
02-01-17;0.627277693;0.87;0.039975737;6.372893149;83.9779765;Media;Baja
03-01-17;0.51619342;0.91;0.056539809;10.95322155;84.59631559;Media;Baja
04-01-17;0.526619261;0.85;0.05590788;10.61637587;86.94175026;Media;Media
05-01-17;0.522008167;1;0.049270911;9.438724098;86.06381083;Alta;Media
06-01-17;0.51602896;1;0.044514375;8.626332796;85.07438914;Media;Baja
07-01-17;0.548279478;1.01;0.051611422;9.413341936;86.50655161;Media;Baja
08-01-17;0.500921289;1.1;0.048085349;9.599382153;86.0080491;Alta;Baja
09-01-17;0.496136792;1.1;0.047363586;9.546477257;86.10447792;Media;Baja
10-01-17;0.529398639;1;0.049751056;9.39765467;84.95397572;Alta;Baja
11-01-17;0.538475315;0.86;0.051643547;9.590699051;82.73044601;Alta;Baja
12-01-17;0.538747841;0.83;0.049364094;9.162745553;82.90355565;Alta;Alta
13-01-17;0.556439203;0.9;0.042149618;7.574882963;81.9769497;Media;Media
14-01-17;0.515459106;0.87;0.053944618;10.46535364;82.40114155;Media;Media
15-01-17;0.523003605;0.81;0.050814232;9.71584729;83.57805151;Media;Media
16-01-17;0.526150059;0.91;0.055622851;10.57167051;83.05068736;Media;Media
17-01-17;0.505167073;0.88;0.052092043;10.31184455;83.23794753;Media;Alta
18-01-17;0.498486997;1.01;0.050829734;10.1968023;84.96492878;Media;Alta
19-01-17;0.517231652;1.05;0.05387756;10.41652409;84.96492878;Media;Alta
20-01-17;0.561777367;0.85;0.050563872;9.000695752;85.89983614;Media;Alta
21-01-17;0.510566347;1.01;0.04678542;9.163435885;85.89545535;Media;Alta
22-01-17;0.479663333;0.96;0.048419685;10.09451455;86.16172257;Media;Alta
23-01-17;0.5163426;0.99;0.059717908;11.56555894;86.16172257;Media;Alta
24-01-17;0.496233679;0.99;0.052287339;10.53683798;86.30137452;Media;Alta
25-01-17;0.537562558;0.9;0.055642442;10.3508775;83.65644175;Media;Alta
26-01-17;0.562273106;1;0.057831813;10.28536001;83.62824418;Media;Alta
27-01-17;0.531450976;0.91;0.058713099;11.04769812;83.59203305;Media;Alta
28-01-17;0.608059449;0.89;0.060543336;9.956812007;83.03550453;Media;Alta
29-01-17;0.65;0.8;0.07;10.76923077;83.61354847;Media;Alta
30-01-17;0.63;0.89;0.06;9.523809524;84.34922359;Media;Alta
31-01-17;0.62;0.89;0.06;9.677419355;85.36030623;Media;Alta
01-02-17;0.645784035;0.99;0.054532465;8.444381061;86.1910136;Media;Alta
02-02-17;0.625738976;0.99;0.054361231;8.687525126;86.1910136;Media;Alta
03-02-17;0.551401024;0.84;0.060148461;10.908297;85.90989719;Baja;Media
04-02-17;0.556501132;0.82;0.062142501;11.1666441;85.13404171;Media;Media
05-02-17;0.514278355;0.82;0.061561239;11.97041211;85.96564091;Media;Baja
06-02-17;0.528793325;0.85;0.051380102;9.716480739;85.96564091;Media;Baja
07-02-17;0.555897356;0.85;0.05338033;9.60255156;85.36310812;Media;Baja
08-02-17;0.555929225;0.93;0.062948502;11.32311445;82.22351236;Media;Media
09-02-17;0.50686175;0.93;0.042111058;8.308194151;83.80660639;Baja;Media
10-02-17;0.547895054;0.9;0.048988691;8.941254479;83.48754133;Media;Baja
11-02-17;0.553576245;0.89;0.049074935;8.865072344;82.98657268;Media;Baja
12-02-17;0.562051839;0.8;0.051097141;9.091179407;83.04089168;Media;Baja
13-02-17;0.549413563;0.84;0.051175906;9.314641909;80.85431267;Media;Baja
14-02-17;0.533802589;0.84;0.041418745;7.759187791;80.85431267;Media;Baja
15-02-17;0.531366149;0.84;0.05020522;9.448328699;80.85431267;Media;Baja
16-02-17;0.53;0.84;0.05;9.433962264;80.85431267;Media;Baja
17-02-17;0.556492965;0.84;0.067967686;12.21357498;80.85431267;Media;Baja
18-02-17;0.538457372;0.84;0.059810487;11.10774782;80.85431267;Media;Baja
19-02-17;0.703703161;0.84;0.07018137;9.97314979;80.85431267;Media;Baja
20-02-17;0.706940464;0.84;0.068782103;9.729546735;85.04491539;Media;Media
21-02-17;0.632682878;0.79;0.065386943;10.3348685;85.04491539;Media;Media
22-02-17;0.600404591;0.97;0.059344983;9.884165404;83.21808661;Alta;Baja
23-02-17;0.5377203;0.82;0.053859289;10.01622761;83.10045647;Media;Media
24-02-17;0.496986708;0.83;0.046589464;9.374388299;83.98732731;Media;Media
25-02-17;0.494087206;0.82;0.047319511;9.577157791;83.98732731;Media;Media
26-02-17;0.512090524;0.82;0.05;9.763898691;83.89276519;Media;Media
27-02-17;0.562518649;0.74;0.06;10.66631305;82.27942648;Alta;Media
28-02-17;0.553681746;0.85;0.06;10.83655014;83.62343945;Media;Media
01-03-17;0.492336078;0.82;0.052629554;10.68976189;86.01726813;Media;Media
02-03-17;0.531401361;0.82;0.051465647;9.684891887;85.64017651;Media;Media
03-03-17;0.540663675;0.82;0.051938315;9.606400004;85.84313441;Alta;Media
04-03-17;0.51626353;0.82;0.035949111;6.963325643;84.0609195;Alta;Media
05-03-17;0.551840672;0.82;0.056697164;10.27419093;84.84787726;Alta;Baja
06-03-17;0.573854777;0.82;0.046210618;8.052667592;84.84787726;Alta;Baja
07-03-17;0.619291153;0.82;0.082011943;13.24287339;84.25905532;Media;Media
08-03-17;0.610750283;0.91;0.059888222;9.805680606;82.16897873;Media;Media
09-03-17;0.554902398;0.85;0.051687594;9.314718043;83.00848578;Alta;Media
10-03-17;0.558584188;0.85;0.049879925;8.929705865;81.96553803;Media;Media
11-03-17;0.561839124;0.91;0.052285801;9.306187341;82.37100535;Alta;Media
12-03-17;0.56084775;0.8;0.051048259;9.101981671;82.60855765;Media;Media
13-03-17;0.534522109;0.83;0.041963331;7.850625896;83.43837131;Media;Media
14-03-17;0.49333449;0.83;0.048151958;9.760509157;83.9691596;Media;Media
15-03-17;0.523753748;0.83;0.040019823;7.640961567;83.9691596;Media;Media
16-03-17;0.540228961;0.83;0.04949803;9.162416917;85.5915404;Media;Media
17-03-17;0.562712382;0.83;0.051896158;9.222501453;86.09124506;Media;Alta
18-03-17;0.631315905;0.83;0.060554428;9.591779188;86.35335233;Alta;Media
19-03-17;0.62536002;0.83;0.063680015;10.18293672;85.71322571;Alta;Media
20-03-17;0.508065503;0.83;0.04580917;9.016390512;85.57537012;Media;Media
21-03-17;0.577053394;0.83;0.053742598;9.313279985;86.26767166;Media;Media
22-03-17;0.638723517;0.83;0.059793742;9.361443611;83.44945091;Media;Media
23-03-17;0.595941132;0.83;0.056441437;9.470975199;83.80961269;Media;Alta
24-03-17;0.545607667;0.84;0.052723971;9.663348676;83.46766709;Media;Media
25-03-17;0.591452447;0.84;0.066956291;11.320655;83.82295115;Alta;Media
26-03-17;0.608259714;0.81;0.05;8.220172872;84.28589719;Media;Media
27-03-17;0.55986795;0.86;0.05;8.930677314;84.06603928;Media;Media
28-03-17;0.531427947;0.82;0.05;9.40861321;83.55977492;Media;Media
29-03-17;0.489018283;0.82;0.05;10.2245666;86.44423712;Media;Media
30-03-17;0.507708477;0.82;0.05;9.848171205;86.22971504;Alta;Media
31-03-17;0.529854877;0.82;0.05;9.43654615;85.80712365;Alta;Media
01-04-17;0.54232486;0.82;0.052330262;9.649246339;86.40528266;Media;Media
02-04-17;0.526945339;0.79;0.047532153;9.020319403;86.03451447;Media;Media
03-04-17;0.507996745;0.79;0.044706704;8.800588736;85.50928447;Alta;Media
04-04-17;0.506426266;0.79;0.050717338;10.0147526;85.45589719;Media;Media
05-04-17;0.495002823;0.78;0.048391578;9.776020581;82.99630307;Media;Media
06-04-17;0.514037201;0.78;0.048382488;9.412254235;82.44106039;Alta;Media
07-04-17;0.557330182;0.79;0.052551596;9.429167454;83.79046237;Media;Media
08-04-17;0.567636945;0.79;0.048199624;8.491276782;83.6096874;Alta;Media
09-04-17;0.576770705;0.83;0.043705447;7.577612189;83.28390687;Alta;Baja
10-04-17;0.565157025;0.83;0.069567812;12.30946609;82.21834899;Alta;Media
11-04-17;0.527482833;0.83;0.054103377;10.25689825;81.27921306;Media;Media
12-04-17;0.553330953;0.83;0.063244939;11.42985748;83.74453452;Alta;Media
13-04-17;0.57507533;0.83;0.05966405;10.37499738;84.89159238;Alta;Baja
14-04-17;0.686036346;0.83;0.068531834;9.989534045;85.57023922;Alta;Media
15-04-17;0.572772443;0.89;0.062136318;10.84834271;86.85278335;Media;Baja
16-04-17;0.547221522;0.89;0.06011751;10.98595492;87.1848154;Media;Media
17-04-17;0.548060095;0.89;0.050031271;9.12879296;86.49734187;Alta;Baja
18-04-17;0.5305965;0.89;0.064844369;12.2210321;83.64589719;Alta;Media
19-04-17;0.561289231;0.89;0.053428471;9.518884123;81.75825127;Alta;Media
20-04-17;0.578236539;0.89;0.055947571;9.67555089;84.23878752;Alta;Media
21-04-17;0.572375015;0.82;0.055418631;9.682224028;83.30218259;Alta;Media
22-04-17;0.603670774;0.81;0.043410391;7.191070454;83.33829316;Alta;Media
23-04-17;0.587087429;0.9;0.049193204;8.379195541;81.91121824;Media;Media
24-04-17;0.55607279;0.9;0.04;7.193302874;83.78562531;Alta;Media
25-04-17;0.521744623;0.9;0.05;9.583232453;84.44859572;Alta;Alta
26-04-17;0.520424023;0.9;0.05;9.607550338;86.41712341;Alta;Alta
27-04-17;0.516324892;0.9;0.05;9.683825199;84.34988016;Media;Alta
28-04-17;0.537317649;0.9;0.05;9.305482544;87.62686147;Alta;Media
29-04-17;0.531315111;0.83;0.05;9.410611326;86.04041656;Media;Media
30-04-17;0.53824781;0.85;0.03;5.573640885;86.50896377;Media;Alta
01-05-17;0.510049757;0.85;0.046176987;9.053427852;85.03183999;Alta;Media
02-05-17;0.55423929;0.85;0.051080322;9.216293882;84.79052872;Alta;Media
03-05-17;0.519881754;0.85;0.047710001;9.177086941;82.48589719;Alta;Media
04-05-17;0.564202262;0.83;0.051793906;9.180024574;82.58589719;Alta;Alta
05-05-17;0.58177854;0.88;0.058373951;10.0337065;83.88589719;Media;Media
06-05-17;0.637147768;0.78;0.058905217;9.245142249;84.38589719;Media;Media
07-05-17;0.607299932;0.8;0.055134934;9.078699172;83.98589719;Media;Alta
08-05-17;0.594702881;0.8;0.055829585;9.387811481;83.38589719;Media;Media
09-05-17;0.656134839;0.8;0.068266184;10.40429187;83.38589719;Media;Media
10-05-17;0.5573299;0.8;0.048946352;8.782294319;85.99898166;Media;Alta
11-05-17;0.533588327;0.8;0.044995558;8.432635417;85.99898166;Media;Alta
12-05-17;0.526492091;0.8;0.042985565;8.164522424;84.78407325;Media;Media
13-05-17;0.488244227;0.8;0.041144711;8.427075755;85.89651106;Media;Alta
14-05-17;0.547713541;0.8;0.066274048;12.10012961;87.51393652;Media;Media
15-05-17;0.552096014;0.8;0.056499985;10.23372441;85.00050029;Media;Alta
16-05-17;0.518884927;0.76;0.049949474;9.626310445;85.00050029;Media;Alta
17-05-17;0.456690619;0.76;0.039053595;8.551433603;85.27075135;Media;Alta
18-05-17;0.500923492;0.76;0.046574821;9.297791375;83.84704893;Media;Alta
19-05-17;0.538344388;0.76;0.044009865;8.175039214;83.37368289;Alta;Media
20-05-17;0.51404506;0.88;0.047601323;9.260146001;82.80878645;Media;Media
21-05-17;0.55366044;0.88;0.047232529;8.530956179;85.21705978;Media;Alta
22-05-17;0.523163109;0.8;0.053802372;10.28405308;83.58661636;Alta;Media
23-05-17;0.495450153;0.8;0.048843658;9.858440312;83.16707341;Alta;Media
24-05-17;0.530830972;0.8;0.061862956;11.65398386;85.90989719;Media;Media
25-05-17;0.516625285;0.8;0.054372895;10.52462901;85.90989719;Media;Media
26-05-17;0.521138214;0.8;0.050609738;9.71138498;86.4175937;Media;Alta
27-05-17;0.603569194;0.8;0.046973332;7.782592761;86.4175937;Media;Alta
28-05-17;0.531893339;0.8;0.048870175;9.187965205;86.60318153;Media;Alta
29-05-17;0.528077507;0.8;0.053333087;10.09948086;87.28205451;Media;Alta
30-05-17;0.511068992;0.8;0.054780539;10.71881482;87.65738193;Media;Alta
